order_id,customer_id,product_id,quantity,price,order_date,id,name,username,email,phone,website,street,suite,city,zipcode,geo_lat,geo_lng,catchPhrase,bs,temperature,weather_conditions
2334,5,40,3,35.6,2022-06-21,5,Keebler LLC,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,User-centric fault-tolerant solution,revolutionize end-to-end systems,19.77,overcast clouds
6228,8,13,7,36.52,2023-03-08,8,Abernathy Group,Maxime_Nienow,Sherwood@rosamond.me,586.493.6943 x140,jacynthe.com,Ellsworth Summit,Suite 729,Aliyaview,45169,-14.3990,-120.7677,Implemented secondary concept,e-enable extensible e-tailers,26.05,clear sky
7784,9,44,4,46.56,2023-04-22,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
6588,5,26,1,15.87,2022-10-23,5,Keebler LLC,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,User-centric fault-tolerant solution,revolutionize end-to-end systems,19.77,overcast clouds
5910,8,32,10,77.0,2022-10-05,8,Abernathy Group,Maxime_Nienow,Sherwood@rosamond.me,586.493.6943 x140,jacynthe.com,Ellsworth Summit,Suite 729,Aliyaview,45169,-14.3990,-120.7677,Implemented secondary concept,e-enable extensible e-tailers,26.05,clear sky
3983,3,11,4,85.04,2022-11-25,3,Romaguera-Jacobson,Samantha,Nathan@yesenia.net,1-463-123-4447,ramiro.info,Douglas Extension,Suite 847,McKenziehaven,59590-4157,-68.6102,-47.0653,Face to face bifurcated interface,e-enable strategic applications,-6.47,few clouds
9464,10,15,6,45.41,2023-03-25,10,Hoeger LLC,Moriah.Stanton,Rey.Padberg@karina.biz,024-648-3804,ambrose.net,Kattie Turnpike,Suite 198,Lebsackbury,31428-2261,-38.2386,57.2232,Centralized empowering task-force,target end-to-end models,18.36,overcast clouds
8272,9,11,1,71.7,2022-09-10,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
3569,5,47,9,19.35,2023-05-25,5,Keebler LLC,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,User-centric fault-tolerant solution,revolutionize end-to-end systems,19.77,overcast clouds
2997,7,49,1,39.54,2022-08-09,7,Johns Group,Elwyn.Skiles,Telly.Hoeger@billy.biz,210.067.6132,elvis.io,Rex Trail,Suite 280,Howemouth,58804-1099,24.8918,21.8984,Configurable multimedia task-force,generate enterprise e-tailers,17.83,clear sky
4237,8,10,5,47.66,2022-10-19,8,Abernathy Group,Maxime_Nienow,Sherwood@rosamond.me,586.493.6943 x140,jacynthe.com,Ellsworth Summit,Suite 729,Aliyaview,45169,-14.3990,-120.7677,Implemented secondary concept,e-enable extensible e-tailers,26.05,clear sky
4010,7,40,1,30.73,2023-04-22,7,Johns Group,Elwyn.Skiles,Telly.Hoeger@billy.biz,210.067.6132,elvis.io,Rex Trail,Suite 280,Howemouth,58804-1099,24.8918,21.8984,Configurable multimedia task-force,generate enterprise e-tailers,17.83,clear sky
3760,4,30,4,84.08,2023-03-09,4,Robel-Corkery,Karianne,Julianne.OConner@kory.org,493-170-9623 x156,kale.biz,Hoeger Mall,Apt. 692,South Elvis,53919-4257,29.4572,-164.2990,Multi-tiered zero tolerance productivity,transition cutting-edge web services,17.82,overcast clouds
1098,9,46,2,26.31,2022-07-11,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
4018,1,20,4,36.85,2022-06-18,1,Romaguera-Crona,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Kulas Light,Apt. 556,Gwenborough,92998-3874,-37.3159,81.1496,Multi-layered client-server neural-net,harness real-time e-markets,17.14,clear sky
5427,7,17,10,23.25,2022-11-05,7,Johns Group,Elwyn.Skiles,Telly.Hoeger@billy.biz,210.067.6132,elvis.io,Rex Trail,Suite 280,Howemouth,58804-1099,24.8918,21.8984,Configurable multimedia task-force,generate enterprise e-tailers,17.83,clear sky
4837,10,11,9,74.71,2023-01-14,10,Hoeger LLC,Moriah.Stanton,Rey.Padberg@karina.biz,024-648-3804,ambrose.net,Kattie Turnpike,Suite 198,Lebsackbury,31428-2261,-38.2386,57.2232,Centralized empowering task-force,target end-to-end models,18.36,overcast clouds
5200,5,50,6,82.12,2023-02-28,5,Keebler LLC,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,User-centric fault-tolerant solution,revolutionize end-to-end systems,19.77,overcast clouds
4388,10,32,6,76.36,2022-07-23,10,Hoeger LLC,Moriah.Stanton,Rey.Padberg@karina.biz,024-648-3804,ambrose.net,Kattie Turnpike,Suite 198,Lebsackbury,31428-2261,-38.2386,57.2232,Centralized empowering task-force,target end-to-end models,18.36,overcast clouds
9042,9,5,3,95.74,2022-09-16,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
9685,9,40,10,99.72,2023-02-19,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
3188,10,24,7,20.37,2022-09-20,10,Hoeger LLC,Moriah.Stanton,Rey.Padberg@karina.biz,024-648-3804,ambrose.net,Kattie Turnpike,Suite 198,Lebsackbury,31428-2261,-38.2386,57.2232,Centralized empowering task-force,target end-to-end models,18.36,overcast clouds
8712,2,50,3,76.8,2022-07-22,2,Deckow-Crist,Antonette,Shanna@melissa.tv,010-692-6593 x09125,anastasia.net,Victor Plains,Suite 879,Wisokyburgh,90566-7771,-43.9509,-34.4618,Proactive didactic contingency,synergize scalable supply-chains,14.71,overcast clouds
4898,3,9,7,15.84,2022-06-28,3,Romaguera-Jacobson,Samantha,Nathan@yesenia.net,1-463-123-4447,ramiro.info,Douglas Extension,Suite 847,McKenziehaven,59590-4157,-68.6102,-47.0653,Face to face bifurcated interface,e-enable strategic applications,-6.47,few clouds
8716,3,11,2,51.09,2022-11-16,3,Romaguera-Jacobson,Samantha,Nathan@yesenia.net,1-463-123-4447,ramiro.info,Douglas Extension,Suite 847,McKenziehaven,59590-4157,-68.6102,-47.0653,Face to face bifurcated interface,e-enable strategic applications,-6.47,few clouds
9863,9,17,8,67.2,2022-11-24,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
9728,3,9,8,61.04,2022-12-16,3,Romaguera-Jacobson,Samantha,Nathan@yesenia.net,1-463-123-4447,ramiro.info,Douglas Extension,Suite 847,McKenziehaven,59590-4157,-68.6102,-47.0653,Face to face bifurcated interface,e-enable strategic applications,-6.47,few clouds
3810,9,6,1,80.49,2022-07-16,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
1589,5,10,1,96.94,2023-01-05,5,Keebler LLC,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,User-centric fault-tolerant solution,revolutionize end-to-end systems,19.77,overcast clouds
1558,9,20,2,10.85,2022-12-21,9,Yost and Sons,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Dayna Park,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889,Switchable contextually-based project,aggregate real-time technologies,22.09,clear sky
